"Date","KilledChildren","InjuredChildren","Link"
"2022-04-19",205,367,"http://pbs.twimg.com/media/FQr-gINWYAQh7cj.jpg"
"2022-04-18",205,362,"http://pbs.twimg.com/media/FQnbp66WUAAipj6.jpg"
"2022-04-18",205,362,"https://twitter.com/GP_Ukraine/status/1515984267297312768"
"2022-04-17",202,361,"http://pbs.twimg.com/media/FQhpnPCXwAM7BMp.jpg"
"2022-04-16",200,360,"http://pbs.twimg.com/media/FQcewBUX0AE1g1d.jpg"
"2022-04-15",198,355,"http://pbs.twimg.com/media/FQXMr-gWUAAxvYC.jpg"
"2022-04-14",197,351,"http://pbs.twimg.com/media/FQSF7VCX0AEpbMI.jpg"
"2022-04-13",191,349,"http://pbs.twimg.com/media/FQNAtpJWYAAMc9s.jpg"
"2022-04-12",186,344,"http://pbs.twimg.com/media/FQHvhqjX0AEJJjR.jpg"
"2022-04-11",183,342,"http://pbs.twimg.com/media/FQC0p2WXIAAtkVV.jpg"
"2022-04-10",177,336,"http://pbs.twimg.com/media/FP9vImgXIAEHiFO.jpg"
"2022-04-09",176,324,"http://pbs.twimg.com/media/FP4fpfdWQAIubn1.jpg"
"2022-04-08",169,306,"http://pbs.twimg.com/media/FPzJ3e8XsAEOOOA.jpg"
"2022-04-07",167,297,"http://pbs.twimg.com/media/FPuCQBSWUAAcyMJ.jpg"
"2022-04-06",167,279,"https://twitter.com/GP_Ukraine/status/1511593106273144833?s=20&t=MF9BYQ7sjrGEtr-X4bzxPQ"
"2022-04-05",165,266,"https://twitter.com/GP_Ukraine/status/1511237149487677440?s=20&t=nRonLiGl5G7zzOXIz8IVlg"
"2022-04-04",161,264,"https://twitter.com/GP_Ukraine/status/1510876371022712832?s=20&t=V5yrDMEK0cCK-h7R1kRm-A"
"2022-04-03",158,258,"https://twitter.com/GP_Ukraine/status/1510511872172253186?s=20&t=OTlWHfy_e03Nx6FY-XMurA"
"2022-04-02",158,254,"https://twitter.com/GP_Ukraine/status/1510150570874748942?s=20&t=pi_mmzpMHqCFK6bMNjsICQ"
"2022-04-01",153,245,"https://twitter.com/GP_Ukraine/status/1509781090030039042?s=20&t=0p-Wa-hDW2vTTDOOqw2qwg"
"2022-03-31",148,232,"https://twitter.com/GP_Ukraine/status/1509418955697442819?s=20&t=SmRShSh2If5JCLilbgEs0g"
"2022-03-30",145,222,"https://twitter.com/GP_Ukraine/status/1509056761118052354?s=20&t=FmfXsa6QdXvekT6bgG0Hsw"
"2022-03-29",144,220,"https://twitter.com/GP_Ukraine/status/1508688477642178563?s=20&t=l-xVZCBetGmUNXQoLYWSig"
"2022-03-28",143,216,"https://twitter.com/GP_Ukraine/status/1508338280139571205?s=20&t=eHbWF54PQ57yiS_pd_agXg"
"2022-03-27",139,205,"https://twitter.com/GP_Ukraine/status/1507974902430810116?s=20&t=rs49yQcPQYAhDUuelDFjgQ"
"2022-03-26",136,199,"https://twitter.com/GP_Ukraine/status/1507614468087373824?s=20&t=Om48aMVYJ6ApAYnFQgF1QA"
"2022-03-25",135,184,"https://twitter.com/GP_Ukraine/status/1507244801502154755?s=20&t=s-Q1EzXBr-VL5J1G38CplA"
"2022-03-24",128,172,"https://twitter.com/GP_Ukraine/status/1506887074133299208?s=20&t=wUueA2wVt92YHelP7o1WIA"
"2022-03-23",121,167,"https://twitter.com/GP_Ukraine/status/1506519927695552520?s=20&t=uJI8yMs9UJh7iO64XYIFIg"
"2022-03-22",117,155,"https://twitter.com/GP_Ukraine/status/1506171309084094466?s=20&t=qSvFNR3Po-rNvHQRxjSLCw"
"2022-03-21",115,148,"https://twitter.com/GP_Ukraine/status/1505804215347822592?s=20&t=BMJz0N0byD39_VAp5iXQCA"
"2022-03-20",115,140,"https://twitter.com/GP_Ukraine/status/1505431513424445442?s=20&t=QYYS435WWvIOU76rri4BxA"
"2022-03-19",112,140,"https://twitter.com/GP_Ukraine/status/1505071903777644544?s=20&t=ljRDHoTfDR0o6FKc7M62LQ"
"2022-03-18",109,130,"https://twitter.com/GP_Ukraine/status/1504712399944777730?s=20&t=noj2FjUYhYD2UDri8_tHRQ"
"2022-03-17",108,120,"https://twitter.com/GP_Ukraine/status/1504366993394315266?s=20&t=TaGAyREsmjzDwdBKXwKumw"
"2022-03-16",103,113,"https://twitter.com/GP_Ukraine/status/1504093746077577216?s=20&t=PHXS_vx7VrZi0IMdth0huw"
"2022-03-15",97,100,"https://ua.interfax.com.ua/news/general/813522.html"
"2022-03-14",90,100,"https://tvoemisto.tv/en/news/as_a_result_of_the_russian_war_in_ukraine_90_children_died_and_more_than_100_were_injured_129232.html"
"2022-03-13",85,100,"https://www.foxnews.com/world/ukraine-children-killed-wounded-russian-invasion"
