"Date","Civilian","KilledTotal","KilledChildren","InjuredTotal","InjuredChildren","Link"
"2022-04-14",4577,1964,161,2613,252,"https://ukraine.un.org/en/177731-ukraine-civilian-casualties-13-april-2022"
"2022-04-13",4521,1932,157,2589,250,"https://ukraine.un.org/en/177572-ukraine-civilian-casualties-12-april-2022"
"2022-04-12",4450,1892,153,2558,246,"https://ukraine.un.org/en/177432-ukraine-civilian-casualties-11-april-2022"
"2022-04-11",4335,1842,148,2493,233,"https://ukraine.un.org/en/177320-ukraine-civilian-casualties-10-april-2022"
"2022-04-10",4232,1793,142,2439,229,"https://ukraine.un.org/en/177284-ukraine-civilian-casualties-9-april-2022"
"2022-04-09",4149,1766,139,2383,215,"https://ukraine.un.org/en/177251-ukraine-civilian-casualties-8-april-2022"
"2022-04-08",3893,1626,132,2267,197,"https://ukraine.un.org/en/177142-ukraine-civilian-casualties-7-april-2022"
"2022-04-07",3838,1611,131,2227,191,"https://ukraine.un.org/en/177014-ukraine-civilian-casualties-6-april-2022"
"2022-04-06",3776,1563,130,2213,188,"https://ukraine.un.org/index.php/en/176952-ukraine-civilian-casualties-5-april-2022"
"2022-04-05",3675,1480,123,2195,183,"https://ukraine.un.org/en/176844-ukraine-civilian-casualties-4-april-2022"
"2022-04-04",3527,1430,121,2097,178,"https://ukraine.un.org/en/176718-ukraine-civilian-casualties-3-april-2022"
"2022-04-03",3455,1417,121,2038,171,"https://ukraine.un.org/en/176643-ukraine-civilian-casualties-2-april-2022"
"2022-04-02",3342,1325,120,2017,168,"https://ukraine.un.org/en/176598-ukraine-civilian-casualties-1-april-2022"
"2022-04-01",3257,1276,115,1981,160,"https://ukraine.un.org/en/176556-ukraine-civilian-casualties-31-march-2022"
"2022-03-31",3167,1232,112,1935,149,"https://ukraine.un.org/en/176432-ukraine-civilian-casualties-30-march-2022"
"2022-03-30",3090,1189,108,1901,142,"https://ukraine.un.org/en/176282-ukraine-civilian-casualties-29-march-2022"
"2022-03-29",3039,1179,104,1860,134,"https://ukraine.un.org/en/176175-ukraine-civilian-casualties-28-march-2022"
"2022-03-28",2975,1151,103,1824,133,"https://ukraine.un.org/en/175997-ukraine-civilian-casualties-27-march-2022"
"2022-03-27",2909,1119,99,1790,126,"https://ukraine.un.org/en/175923-ukraine-civilian-casualties-26-march-2022"
"2022-03-26",2858,1104,96,1754,124,"https://ukraine.un.org/en/175908-ukraine-civilian-casualties-25-march-2022"
"2022-03-25",2787,1081,93,1706,119,"https://ukraine.un.org/en/175863-ukraine-civilian-casualties-24-march-2022"
"2022-03-24",2685,1035,90,1650,118,"https://ukraine.un.org/en/175776-ukraine-civilian-casualties-23-march-2022"
"2022-03-23",2571,977,81,1594,108,"https://ukraine.un.org/en/175628-ukraine-civilian-casualties-22-march-2022"
"2022-03-22",2510,953,78,1557,105,"https://ukraine.un.org/en/175502-ukraine-civilian-casualties-21-march-2022"
"2022-03-21",2421,925,75,1496,99,"https://ukraine.un.org/en/175387-ukraine-civilian-casualties-20-march-2022"
"2022-03-20",2361,902,75,1459,98,"https://ukraine.un.org/en/175327-ukraine-civilian-casualties-19-march-2022"
"2022-03-19",2246,847,64,1399,78,"https://ukraine.un.org/en/175326-ukraine-civilian-casualties-18-march-2022"
"2022-03-18",2149,816,59,1333,74,"https://ukraine.un.org/en/175209-ukraine-civilian-casualties-17-march-2022"
"2022-03-17",2032,780,58,1252,68,"https://ukraine.un.org/en/175128-ukraine-civilian-casualties-16-march-2022"
"2022-03-16",1900,726,52,1174,63,"https://ukraine.un.org/en/174981-ukraine-civilian-casualties-15-march-2022"
"2022-03-15",1834,691,48,1143,62,"https://ukraine.un.org/sites/default/files/2022-03/Ukraine%20-%20civilian%20casualty%20update%20as%20of%2024.00%2014%20March%202022%20ENG.pdf"
"2022-03-14",1761,636,46,1125,62,"https://ukraine.un.org/en/174700-ukraine-civilian-casualties-2400-13-march-2022"
"2022-03-13",1663,596,43,1067,57,"https://ukraine.un.org/en/174664-ukraine-civilian-casualties-2400-12-march-2022"
"2022-03-12",1581,579,42,1002,54,"https://ukraine.un.org/en/174629-ukraine-civilian-casualties-2400-11-march-2022"
"2022-03-11",1546,564,41,982,52,"https://ukraine.un.org/en/174540-ukraine-civilian-casualties-2400-10-march-2022"
"2022-03-10",1506,549,41,957,52,"https://ukraine.un.org/en/174408-ukraine-civilian-casualties-2400-9-march-2022"
"2022-03-09",1424,516,37,908,50,"https://ukraine.un.org/en/174328-ukraine-civilian-casualties-2400-8-march-2022"
"2022-03-08",1335,474,29,861,44,"https://ukraine.un.org/en/174170-ukraine-civilian-casualties-2400-7-march-2022"
"2022-03-07",1207,406,27,801,42,"https://ukraine.un.org/en/174015-ukraine-civilian-casualties-2400-6-march-2022"
"2022-03-06",1123,364,25,759,41,"https://ukraine.un.org/en/174001-ukraine-civilian-casualties-2400-5-march-2022"
"2022-03-05",1058,351,22,707,36,"https://ukraine.un.org/en/173987-ukraine-civilian-casualties-2400-4-march-2022"
"2022-03-04",1006,331,19,675,31,"https://ukraine.un.org/en/173923-ukraine-civilian-casualties-2400-3-march-2022"
"2022-03-03",802,249,17,553,30,"https://ukraine.un.org/en/173826-ukraine-civilian-casualties-2400-2-march-2022"
"2022-03-02",752,227,15,525,28,"https://ukraine.un.org/index.php/en/173719-civilian-casualties-2400-1-march-2022"
"2022-03-01",550,142,13,408,26,"https://ukraine.un.org/en/173612-ukraine-civilian-casualties-2400-28-february-2022"
