"Date","Troops","MLRS","Planes","Boats","Helicopters","Vehicles","Tanks","FuelTanks","ArtilleryPieces","UAV","ArmoredPersonnelCarriers","AntiAircraftWarfare","MobileSRBMSystems","SpecialEquipment","Link"
"2022-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://pbs.twimg.com/media/FRvNgOfWUAIE-cB.png"
"2022-04-30",23500,151,190,8,155,1796,1026,76,451,245,"2471",77,4,32,"http://pbs.twimg.com/media/FRqQSINXwAMcqYH.png"
"2022-04-29",23200,151,190,8,155,1701,1008,76,436,232,"2445",77,4,32,"http://pbs.twimg.com/media/FRk7l9NX0AAjG3n.png"
"2022-04-28",23000,151,187,8,155,1695,986,76,435,229,"2418",72,4,31,"http://pbs.twimg.com/media/FRfswv0XEAAEqia.png"
"2022-04-27",22800,151,187,8,155,1688,970,76,431,215,"2389",72,4,31,"http://pbs.twimg.com/media/FRalkEZacAEiLRA.png"
"2022-04-26",22400,149,185,8,155,1666,939,76,421,207,"2342",71,4,31,"http://pbs.twimg.com/media/FRVivKAXIAAVboh.png"
"2022-04-25",22100,149,184,8,154,1643,918,76,416,205,"2308",69,4,31,"http://pbs.twimg.com/media/FRQR8CEXoAAgoVa.png"
"2022-04-24",21900,149,181,8,154,1566,884,76,411,201,"2258",69,4,28,"http://pbs.twimg.com/media/FRLLfW6XMAEP462.png"
"2022-04-23",21800,147,179,8,154,1557,873,76,408,191,"2238",69,4,28,"http://pbs.twimg.com/media/FRF0sfQWQAEMh9v.png"
"2022-04-22",21600,143,177,8,154,1543,854,76,403,182,"2205",69,4,27,"http://pbs.twimg.com/media/FRAs5dlX0AA2Rl7.png"
"2022-04-21",21200,138,176,8,153,1523,838,76,397,172,"2162",69,4,27,"http://pbs.twimg.com/media/FQ70gosXIAI6Ya6.jpg"
"2022-04-20",21000,136,172,8,151,1508,829,76,393,166,"2118",67,4,27,"http://pbs.twimg.com/media/FQ2o6P3XMAI1Nk7.png"
"2022-04-19",20900,136,171,8,150,1504,815,76,391,165,"2087",67,4,27,"http://pbs.twimg.com/media/FQxW2JxWQAIUlTR.png"
"2022-04-18",20800,132,169,8,150,1495,802,76,386,158,"2063",67,4,27,"http://pbs.twimg.com/media/FQsVbaOXEAAXAq-.png"
"2022-04-17",20600,130,167,8,147,1487,790,76,381,155,"2041",67,4,27,"http://pbs.twimg.com/media/FQnJoWZXMAUBNaN.jpg"
"2022-04-16",20300,127,165,8,146,1471,773,76,376,148,"2002",66,4,27,"http://pbs.twimg.com/media/FQhyt-3WUAgghcy.png"
"2022-04-15",20100,125,163,8,145,1458,762,76,371,138,"1982",66,4,26,"http://pbs.twimg.com/media/FQdHfs1XsAAGmdt.png"
"2022-04-14",20000,122,163,8,144,1443,756,76,366,135,"1976",66,4,25,"http://pbs.twimg.com/media/FQX44tRXEAEeVoC.jpg"
"2022-04-13",19900,122,160,7,144,1437,753,76,366,134,"1968",64,4,25,"http://pbs.twimg.com/media/FQSkT4cXMAcD_-M.jpg"
